,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-25T23:39:37.056-06:00,   0.620E-01,   0.06202,  14.98402
      2,2020-10-25T23:39:37.616-06:00,   0.620E-01,   0.12403,  16.01864
      3,2020-10-25T23:39:38.489-06:00,   0.450E-03,   0.12448,  17.67613
      4,2020-10-25T23:39:39.153-06:00,   0.450E-03,   0.12493,  18.87243
      5,2020-10-25T23:39:39.826-06:00,   0.450E-03,   0.12538,  20.06493
      6,2020-10-25T23:39:40.756-06:00,   0.450E-03,   0.12583,  21.74617
      7,2020-10-25T23:39:41.434-06:00,   0.450E-03,   0.12629,  22.94769
      8,2020-10-25T23:39:42.059-06:00,   0.450E-03,   0.12674,  24.06473
      9,2020-10-25T23:39:42.923-06:00,   0.450E-03,   0.12719,  25.63234
     10,2020-10-25T23:39:43.531-06:00,   0.450E-03,   0.12764,  26.73231
     20,2020-10-25T23:39:50.480-06:00,   0.495E-03,   0.13259,  39.43922
     30,2020-10-25T23:40:00.011-06:00,   0.495E-03,   0.13754,  53.60285
     40,2020-10-25T23:40:07.765-06:00,   0.495E-03,   0.14249,  66.75716
     50,2020-10-25T23:40:15.913-06:00,   0.495E-03,   0.14744,  80.04518
     60,2020-10-25T23:40:26.733-06:00,   0.495E-03,   0.15239,  95.53185
     70,2020-10-25T23:40:34.487-06:00,   0.495E-03,   0.15734, 108.86876
     80,2020-10-25T23:40:41.577-06:00,   0.495E-03,   0.16229, 121.86516
     90,2020-10-25T23:40:49.741-06:00,   0.495E-03,   0.16724, 135.75885
    100,2020-10-25T23:40:57.319-06:00,   0.495E-03,   0.17219, 149.11102
    200,2020-10-25T23:42:21.962-06:00,   0.495E-03,   0.22170, 287.44895
    300,2020-10-25T23:43:45.100-06:00,   0.495E-03,   0.27120, 424.98994
    400,2020-10-25T23:44:39.807-06:00,   0.495E-03,   0.32071, 527.26709
    500,2020-10-25T23:45:35.327-06:00,   0.495E-03,   0.37022, 629.74967
    600,2020-10-25T23:46:28.509-06:00,   0.495E-03,   0.41972, 728.68084
    700,2020-10-25T23:47:22.618-06:00,   0.495E-03,   0.46923, 829.27912
    763,2020-10-25T23:47:55.642-06:00,   0.758E-04,   0.50000, 890.72848
